company,symbol,fiscal_year,quarter,period_end_date,currency,unit_multiplier,revenue,cogs,gross_profit,operating_expenses,operating_income,net_income
,,2021/22,Q2,2021-12-31,LKR,1000,1778.416,-1202.429,575.987,-376.883,205.982,181.879
,,2022/23,Q1,2022-03-31,LKR,1000,1604.137,-1037.979,566.158,-413.196,169.189,1033.224
,,2021/22,Q1,2022-06-30,LKR,1000,6536.932,-4351.826,2185.106,-1352.844,864.516,1657.892
,,2022/23,Q2,2022-09-30,LKR,1000,2661.097,-1979.877,681.22,-469.543,217.655,250.22
,,2022/23,Q3,2022-12-31,LKR,1000,1909.048,-1487.153,421.895,-417.518,11.502,52.543
,,2023/24,Q1,2023-03-31,LKR,1000,1702.72,1234.766,467.954,455.982,19.939,-247.433
,,2023/24,Q1,2023-06-30,LKR,1000,1474.458,-1275.967,198.491,-251.26,-44.991,-142.922
,,2023/24,Q2,2023-09-30,LKR,1000,2069.984,-1661.929,408.055,-305.416,113.159,175.867
,,2023/24,Q3,2023-12-31,LKR,1000,2089.873,-1670.217,419.656,-344.182,87.501,70.768
,,2024/25,Q1,2024-03-31,LKR,1000,1486.128,-1123.186,362.942,-237.102,135.08,-69.64
,,2023/24,Q1,2023-06-30,LKR,1000,1682.54,-1439.393,243.147,-274.022,-25.349,14.64
,,2024/25,Q2,2024-09-30,LKR,1000,2139.733,-1707.131,432.602,-440.113,0,-53.83
,,2024/25,Q2,2023-12-31,LKR,1000,1941.892,1607.594,334.298,366.856,-26.507,-53.988
,,2021/22,Q3,2021-12-31,LKR,1000,1778.416,-1202.429,575.987,-376.883,205.982,181.879
,,2022/23,Q1,2022-03-31,LKR,1000,1604.137,-1037.979,566.158,-413.096,169.189,1033.224
,,2021/22,Q1,2022-06-30,LKR,1000,6536.932,-4351.826,2185.106,-1352.844,864.516,1657.892
,,2022/23,Q2,2022-09-30,LKR,1000,2661.097,-1979.877,681.22,-469.543,217.655,250.22
,,2022/23,Q3,2022-12-31,LKR,1000,1909.048,-1487.153,421.895,-417.518,11.502,52.543
,,2023/24,Q1,2023-03-31,LKR,1000,1702.72,1234.766,467.954,455.962,19.939,-247.433
,,2023/24,Q1,2023-06-30,LKR,1000,1474.458,1275.967,198.491,251.26,-44.991,-142.922
,,2023/24,Q2,2023-09-30,LKR,1000,2069.984,-1661.929,408.055,-305.416,113.159,175.852
,,2023/24,Q3,2023-12-31,LKR,1000,2089.873,-1670.217,419.656,-344.182,87.501,70.768
,,2024/25,Q1,2024-03-31,LKR,1000,1486.128,-1123.186,362.942,-237.102,135.08,-69.64
,,2023/24,Q1,2024-06-30,LKR,1000,1682.54,-1439.393,243.147,-274.022,-25.349,14.64
,,2024/25,Q2,2024-09-30,LKR,1000,2139.733,-1707.131,432.602,-440.113,0,-53.83
,,2024/25,Q3,2024-12-31,LKR,1000,1941.892,1607.594,334.298,366.856,-26.507,-53.988
,,2021/22,Q3,2021-12-31,LKR,1000,1778.416,-1202.429,575.987,-376.883,205.982,181.879
,,2022/23,Q1,2022-03-31,LKR,1000,1604.137,-1037.979,566.158,-413.096,169.189,1033.224
,,2021/22,Q1,2022-06-30,LKR,1000,6536.932,4351.826,2185.106,1352.884,864.516,1657.892
,,2022/23,Q2,2022-09-30,LKR,1000,2661.097,-1979.877,681.22,-469.543,217.655,250.22
,,2022/23,Q2,2022-12-31,LKR,1000,1909.048,-1487.153,421.895,-417.518,11.502,52.543
,,2023/24,Q1,2023-03-31,LKR,1000,1702.72,-1234.766,467.954,-455.962,19.939,-247.433
,,2023/24,Q1,2023-06-30,LKR,1000,1474.458,1275.967,198.491,251.26,-44.991,-142.922
,,2023/24,Q2,2023-09-30,LKR,1000,2069.984,-1661.929,408.055,-305.416,113.159,175.852
,,2023/24,Q3,2023-12-31,LKR,1000,2089.873,-1670.217,419.656,-344.182,87.501,70.768
,,2024/25,Q1,2024-03-31,LKR,1000,1486.128,-1123.186,362.942,-237.102,135.08,-69.64
,,2023/24,Q1,2023-06-30,LKR,1000,1682.54,-1439.393,243.147,-274.022,-25.349,14.64
,,2024/25,Q2,2024-09-30,LKR,1000,2139.733,1707.131,432.602,440.113,-7.511,-53.83
,,2024/25,Q2,2023-12-31,LKR,1000,1941.892,1607.594,334.298,366.856,-26.507,-53.988
,,2021/22,Q2,2021-12-31,LKR,1000,1778.416,-1202.429,575.987,-376.883,205.982,181.879
,,2022/23,Q1,2022-03-31,LKR,1000,1604.137,-1037.979,566.158,-413.696,169.189,1033.224
,,2021/22,Q1,2022-06-30,LKR,1000,6536.932,-4351.826,2185.106,-1352.844,864.516,1657.892
,,2022/23,Q2,2022-09-30,LKR,1000,2661.097,-1979.877,681.22,-469.543,217.655,250.22
,,2022/23,Q3,2022-12-31,LKR,1000,1909.048,-1487.153,421.895,-417.518,11.502,52.543
,,2023/24,Q1,2023-03-31,LKR,1000,1702.72,-1234.766,467.954,-455.982,-247.88,-247.433
,,2023/24,Q1,2023-06-30,LKR,1000,1474.458,1275.967,198.491,251.26,-44.991,-142.922
,,2023/24,Q2,2023-09-30,LKR,1000,2069.984,-1661.929,408.055,-305.416,113.159,175.852
,,2023/24,Q3,2023-12-31,LKR,1000,2089.873,-1670.217,419.656,-344.182,87.501,70.768
,,2023/24,Q1,2024-03-31,LKR,1000,1486.128,-1123.186,362.942,-237.102,135.08,-69.64
,,2023/24,Q1,2024-06-30,LKR,1000,1682.54,-1439.393,243.147,-274.022,-25.349,14.64
,,2024/25,Q2,2024-09-30,LKR,1000,2139.733,1707.131,432.602,440.113,-7.511,-53.83
,,2024/25,Q2,2024-12-31,LKR,1000,1941.892,1607.594,334.298,366.856,-26.507,-53.988
